name,description,url,last_month_stars,this_month_stars,stars_m_m_growth,last_month_multiple
stellargraph,"
        StellarGraph - Machine Learning on Graphs
      ",https://github.com/stellargraph/stellargraph,2700,2900,200,1.1
h2o-tutorials,"
        Tutorials and training material for the H2O Machine Learning Platform
      ",https://github.com/h2oai/h2o-tutorials,1400,1500,100,1.1
ComputeLibrary,"
        The Compute Library is a set of computer vision and machine learning functions optimised for both Arm CPUs and GPUs using SIMD technologies.
      ",https://github.com/ARM-software/ComputeLibrary,2500,2700,200,1.1
TensorFlow.NET,"
        .NET Standard bindings for Google's TensorFlow for developing, training and deploying Machine Learning models in C# and F#.
      ",https://github.com/SciSharp/TensorFlow.NET,2800,3100,300,1.1
ML-Course-Notes,"
        🎓 Sharing machine learning course / lecture notes.
      ",https://github.com/dair-ai/ML-Course-Notes,5600,5900,300,1.1
MachineLearning,"
        一些关于机器学习的学习资料与研究介绍
      ",https://github.com/jindongwang/MachineLearning,1900,2000,100,1.1
Machine-Learning,"
        ⚡机器学习实战（Python3）：kNN、决策树、贝叶斯、逻辑回归、SVM、线性回归、树回归
      ",https://github.com/Jack-Cherish/Machine-Learning,7500,8500,1000,1.1
awesome-ai-ml-dl,"
        Awesome Artificial Intelligence, Machine Learning and Deep Learning as we learn it. Study notes and a curated list of awesome resources of such topics.
      ",https://github.com/neomatrix369/awesome-ai-ml-dl,1300,1400,100,1.1
Interactive_Tools,"
        Interactive Tools for Machine Learning, Deep Learning and Math
      ",https://github.com/Machine-Learning-Tokyo/Interactive_Tools,1900,2100,200,1.1
best-of-ml-python,"
        🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.
      ",https://github.com/ml-tooling/best-of-ml-python,13900,15300,1400,1.1
Mathematics-for-ML,"
        🧮 A collection of resources to learn mathematics for machine learning
      ",https://github.com/dair-ai/Mathematics-for-ML,3700,4200,500,1.1
awesome-ml-courses,"
        Awesome free machine learning and AI courses with video lectures.
      ",https://github.com/luspr/awesome-ml-courses,2400,2600,200,1.1
spark-py-notebooks,"
        Apache Spark & Python (pySpark) tutorials for Big Data Analysis and Machine Learning as IPython / Jupyter notebooks
      ",https://github.com/jadianes/spark-py-notebooks,1500,1600,100,1.1
3D-Machine-Learning,"
        A resource repository for 3D machine learning
      ",https://github.com/timzhang642/3D-Machine-Learning,8900,9400,500,1.1
DeepLearningProject,"
        An in-depth machine learning tutorial introducing readers to a whole machine learning pipeline from scratch.
      ",https://github.com/Spandan-Madan/DeepLearningProject,4400,4700,300,1.1
sagemaker-python-sdk,"
        A library for training and deploying machine learning models on Amazon SageMaker
      ",https://github.com/aws/sagemaker-python-sdk,1900,2000,100,1.1
MachineLearningStocks,"
        Using python and scikit-learn to make stock predictions
      ",https://github.com/robertmartin8/MachineLearningStocks,1500,1600,100,1.1
awesome-project-ideas,"
        Curated list of Machine Learning, NLP, Vision, Recommender Systems Project Ideas
      ",https://github.com/NirantK/awesome-project-ideas,7000,7500,500,1.1
deep-learning-drizzle,"
        Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!
      ",https://github.com/kmario23/deep-learning-drizzle,11200,11800,600,1.1
start-machine-learning,"
        A complete guide to start and improve in machine learning (ML), artificial intelligence (AI) in 2024 without ANY background in the field and stay up-to-date with the latest news and state-of-the-art techniques!
      ",https://github.com/louisfb01/start-machine-learning,3600,4100,500,1.1
Data-Science-Cheatsheet,"
        A helpful 5-page machine learning cheatsheet to assist with exam reviews, interview prep, and anything in-between.
      ",https://github.com/aaronwangy/Data-Science-Cheatsheet,4200,4600,400,1.1
machine_learning_basics,"
        Plain python implementations of basic machine learning algorithms
      ",https://github.com/zotroneneis/machine_learning_basics,4000,4200,200,1.1
MachineLearningNotebooks,"
        Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft
      ",https://github.com/Azure/MachineLearningNotebooks,3700,4000,300,1.1
amazon-sagemaker-examples,"
        Example 📓 Jupyter notebooks that demonstrate how to build, train, and deploy machine learning models using 🧠 Amazon SageMaker. 
      ",https://github.com/aws/amazon-sagemaker-examples,8500,9500,1000,1.1
bayesian-machine-learning,"
        Notebooks about Bayesian methods for machine learning
      ",https://github.com/krasserm/bayesian-machine-learning,1700,1800,100,1.1
homemade-machine-learning,"
        🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained
      ",https://github.com/trekhleb/homemade-machine-learning,21400,22500,1100,1.1
