name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Prompt flow for VS Code,,https://marketplace.visualstudio.com/items?itemName=prompt-flow.prompt-flow,10479,28062,17583,2.7
JSONPath Notebook,Run JSONPath queries inside VS Code Notebooks,https://marketplace.visualstudio.com/items?itemName=tschranz.jsonpath-notebook,189,509,320,2.7
HtmlCss-Completion,Extension Vscode permettant d'ajouter des snippets pour les langages html et css,https://marketplace.visualstudio.com/items?itemName=0KLS0.htmlcss-completion,127,344,217,2.7
Sase JS Exec,Run ES5 JavaScript Functions Independently,https://marketplace.visualstudio.com/items?itemName=Sase.sase-js-exec,75,201,126,2.7
Prettify TypeScript: Better Type Previews,"View ""prettified"" and nested types in hover tooltips and sidebar.",https://marketplace.visualstudio.com/items?itemName=MylesMurphy.prettify-ts,2337,6194,3857,2.7
revature-angular-labs,"A VSCode extension which tracks user activity,commit logs and session",https://marketplace.visualstudio.com/items?itemName=revaturePro.revature-angular-labs,71,191,120,2.7
GenType,Do yourself a favor and generate data from type. Include 0% AI!,https://marketplace.visualstudio.com/items?itemName=filipkudla.dummy-type-gen,70,186,116,2.7
Keil uVision Assistant,"Keil uVision Assistant is convenient for working with uVision projects, but does not change the principle project file configuration, and common functions include writing code, compiling, recompiling, downloading and other functions",https://marketplace.visualstudio.com/items?itemName=jacksonjim.keil-vscode-assistant,1620,4358,2738,2.7
Tyche,A VSCode extension for visualizing data produced when testing a Hypothesis property.,https://marketplace.visualstudio.com/items?itemName=HarrisonGoldstein.tyche,59,162,103,2.7
SQL Formatter VSCode,Official VSCode Extension of SQL Formatter library,https://marketplace.visualstudio.com/items?itemName=ReneSaarsoo.sql-formatter-vsc,3704,9877,6173,2.7
[DEV BUILD] Azure Quantum Development Kit (QDK),Q# Language Support,https://marketplace.visualstudio.com/items?itemName=quantum.qsharp-lang-vscode-dev,262,687,425,2.6
Synapse VS Code - Remote,Create and manage Microsoft Fabric notebooks inside Visual Studio Code for the Web,https://marketplace.visualstudio.com/items?itemName=SynapseVSCode.vscode-synapse-remote,756,2000,1244,2.6
Dadroit JSON Generator,Generate nested sample JSON data using custom templates.,https://marketplace.visualstudio.com/items?itemName=Dadroit.dadroit-json-generator,37819,100208,62389,2.6
Jekyll and Hyde,Categorized Post View for Jekyll,https://marketplace.visualstudio.com/items?itemName=hepxheir.jekyll-and-hyde,41,106,65,2.6
API Chat,Test APIs with OpenAPI descriptions,https://marketplace.visualstudio.com/items?itemName=WSO2.api-chat,139,364,225,2.6
Alita Code,"Your Virtual Coding Assistant, to help you write better code faster",https://marketplace.visualstudio.com/items?itemName=ProjectAlita.alitacode,139,363,224,2.6
Perl Test Provider,Automatically detect and run perl unit tests inside your current workspace,https://marketplace.visualstudio.com/items?itemName=Nihilus118.vscode-perl-test-provider,286,751,465,2.6
