name,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
CallMiner Eureka,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/callminer1592491093842.callminer_eureka?exp=ubp8&tab=Overview,147,185,38,1.3
CallMiner Eureka,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/callminer1592491093842.callminer_eureka?exp=ubp8&tab=Overview,147,185,38,1.3
Trifacta for Azure,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/trifactainc1587522950142.trifactaazure?exp=ubp8&tab=Overview,123,156,33,1.3
Zoho Analytics On-Premise (BYOL),https://azuremarketplace.microsoft.com/en-us/marketplace/apps/site24x7.zoho_analytics_on-premise?exp=ubp8&tab=Overview,210,267,57,1.3
deFacto Power Planning,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/defactoglobalinc.defatosaas00001?exp=ubp8&tab=Overview,4,5,1,1.3
MachEye Essentials,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/macheyeinc1609360234525.macheye_essentials_1?exp=ubp8&tab=Overview,8,10,2,1.3
MachEye Premium,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/macheyeinc1609360234525.macheye_premium_1?exp=ubp8&tab=Overview,8,10,2,1.3
Cloudera Data Platform (CDP) 7.2.x Runtimes,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/cloudera.cloudera-data-platform-cdp-7_2?exp=ubp8&tab=Overview,27,34,7,1.3
trueChart,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/highcoordination.truechart4excel?exp=ubp8&tab=Overview,4,5,1,1.3
Zoho Analytics,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/zohocorp.zohoanalytics?exp=ubp8&tab=Overview,214,271,57,1.3
CallMiner Eureka,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/callminer1592491093842.callmineroffer1?exp=ubp8&tab=Overview,147,185,38,1.3
CallMiner Eureka,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/callminer1592491093842.callmineroffer1?exp=ubp8&tab=Overview,147,185,38,1.3
Kepion Cloud,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/kepion.kepioncloud?exp=ubp8&tab=Overview,8,10,2,1.3
MeBeBot Intelligent Assistant,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/mebebot1616523123397.mebebot_contactus?exp=ubp8&tab=Overview,9,12,3,1.3
adenin Digital Assistant,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/adenintechnologiesinc1605897155825.digital_assistant_saas?exp=ubp8&tab=Overview,4,5,1,1.3
ModelOp Center,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/modelop.modelop_center?exp=ubp8&tab=Overview,4,5,1,1.3
NLP Cloud API,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/soupeo1619797935412.nlpcloud_api?exp=ubp8&tab=Overview,4,5,1,1.3
Sisense Server,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/sisenseltd.sisense-server?exp=ubp8&tab=Overview,758,956,198,1.3
NLP Lab,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/johnsnowlabsinc1646051154808.annotation_lab?exp=ubp8&tab=Overview,3,4,1,1.3
ArcGIS Enterprise,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/esri.arcgis-enterprise?exp=ubp8&tab=Overview,53,67,14,1.3
